bandwidth_saved_percent,compression_ratio,detector_retention,image,image_index,inference_latency_ms,keep_ratio,lpips,object_retention,psnr,region_preservation,relevance_retention,semantic_token_count,semantic_utility_score,ssim,total_token_count,variant
98.91,91.3953,0.618754,datasets\sentinel2_500_patch\images\sentinel2_patch_00055.png,56,612.6544,0.8,0.578403,1.0,19.3754,0.223404,0.615103,3277,69.2863,0.7396,4096,without_detail_term
98.97,97.2847,0.703527,datasets\sentinel2_500_patch\images\sentinel2_patch_00056.png,57,555.7837,0.8,0.501032,1.0,21.8881,0.406897,0.705076,3277,76.3116,0.8657,4096,full_detail_aware
98.97,97.1787,0.710614,datasets\sentinel2_500_patch\images\sentinel2_patch_00056.png,57,579.7288,0.8,0.501157,1.0,21.9558,0.406897,0.712066,3277,76.7348,0.8671,4096,without_detail_term
98.89,89.7749,0.885739,datasets\sentinel2_500_patch\images\sentinel2_patch_00057.png,58,592.7361,0.8,0.54643,0.0,24.5506,0.243902,0.88695,3277,55.6076,0.8267,4096,full_detail_aware
98.88,89.4763,0.868376,datasets\sentinel2_500_patch\images\sentinel2_patch_00057.png,58,565.4763,0.8,0.546571,0.0,24.4919,0.235772,0.869406,3277,54.4809,0.8303,4096,without_detail_term
98.95,95.5648,0.845044,datasets\sentinel2_500_patch\images\sentinel2_patch_00058.png,59,533.0523,0.8,0.459656,1.0,23.6939,0.844444,0.844463,3277,89.1355,0.8919,4096,full_detail_aware
98.95,95.5001,0.845044,datasets\sentinel2_500_patch\images\sentinel2_patch_00058.png,59,550.7814,0.8,0.459656,1.0,23.6939,0.844444,0.844463,3277,89.1355,0.8919,4096,without_detail_term
98.92,92.9335,0.640738,datasets\sentinel2_500_patch\images\sentinel2_patch_00059.png,60,579.1162,0.8,0.559892,0.0,18.1999,0.577114,0.638459,3277,44.1698,0.6876,4096,full_detail_aware
98.92,92.5981,0.647449,datasets\sentinel2_500_patch\images\sentinel2_patch_00059.png,60,580.26,0.8,0.558587,0.0,18.2849,0.58209,0.645131,3277,44.6214,0.6917,4096,without_detail_term
98.93,93.0789,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00060.png,61,624.0688,0.8,0.663173,1.0,22.4746,1.0,1.0,3277,100.0,0.8757,4096,full_detail_aware
98.92,92.9829,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00060.png,61,631.5874,0.8,0.664232,1.0,22.6169,1.0,1.0,3277,100.0,0.8787,4096,without_detail_term
98.96,95.958,0.764806,datasets\sentinel2_500_patch\images\sentinel2_patch_00061.png,62,640.8696,0.8,0.64498,0.913043,20.3665,0.640625,0.766202,3277,79.7138,0.8896,4096,full_detail_aware
98.95,95.5894,0.7657,datasets\sentinel2_500_patch\images\sentinel2_patch_00061.png,62,649.3292,0.8,0.645555,0.956522,20.3299,0.669922,0.78029,3277,81.6287,0.8887,4096,without_detail_term
98.96,96.2235,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00062.png,63,583.7704,0.8,0.697112,1.0,19.8442,1.0,1.0,3277,100.0,0.9181,4096,full_detail_aware
98.96,96.0224,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00062.png,63,640.3222,0.8,0.698498,1.0,19.8564,1.0,1.0,3277,100.0,0.9184,4096,without_detail_term
98.93,93.6026,0.965764,datasets\sentinel2_500_patch\images\sentinel2_patch_00063.png,64,635.6784,0.8,0.668212,0.727273,21.9877,0.947236,0.956052,3277,89.0421,0.9125,4096,full_detail_aware
98.93,93.8347,0.957513,datasets\sentinel2_500_patch\images\sentinel2_patch_00063.png,64,662.6289,0.8,0.671585,0.727273,21.9286,0.948492,0.948471,3277,88.5731,0.9114,4096,without_detail_term
98.93,93.3348,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00064.png,65,611.6844,0.8,0.666411,1.0,21.6143,0.997552,1.0,3277,99.9755,0.9057,4096,full_detail_aware
98.93,93.354,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00064.png,65,643.6356,0.8,0.66695,1.0,21.6387,0.988984,1.0,3277,99.8898,0.9058,4096,without_detail_term
98.91,91.5365,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00065.png,66,669.8673,0.8,0.649384,1.0,21.3449,1.0,1.0,3277,100.0,0.8645,4096,full_detail_aware
98.91,91.669,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00065.png,66,570.6343,0.8,0.648818,1.0,21.3945,1.0,1.0,3277,100.0,0.8663,4096,without_detail_term
98.93,93.3148,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00066.png,67,638.0177,0.8,0.678349,0.916667,22.7206,1.0,1.0,3277,97.5,0.8749,4096,full_detail_aware
